INDICATOR:,UNIT:,"Status of indicator (existing, proposed).",Availability of data: Indicator/Signal/Potential,Qualitative indicator,Boolean indicator (yes/No),Quantitative indicator,Temporal,Geographic,Recent year,EU,National,Regional/Cities,Products /  Companies,Description of the indicator/signal/potential,Methodological considerations,Required methodology,Headline,Societal Goals,Environmental,Economic,Social,Circularity,Agriculture,Forestry,Acquaculture,Secondary production systems,Waste and Circularity,Ecosystem conditions,Trade,Primary sectors,Stock,Processing/Manufacturing services,Users,Disposal/Cascading/Recycling/Reusing,Whole chain,SDG 1: No poverty,SDG 2: Zero hunger,SDG 3: Good health and well being,SDG 4: Quality education,SDG 5: Gender equality,SDG 6: Clean water and sanitation,SDG 7: Affordable and clean energy,SDG 8: Decent work and economic growth,"SDG 9: Industry, innovation and infrastructure",SDG 10: Reduced inequalities,SDG 11: Sustainable cities and communities,SDG 12: Responsible consumption and production,SDG 13: Climate action,SDG 14: Life below water,SDG 15: Life on land,"SDG 16: Peace, justice, and strong institutions",SDG 17: Partnerships for the goals,Source,Link to reference,Link to data
Biowaste recovered by source,NA,Existing,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,"SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad",x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Cascade use of wood resources,NA,Existing,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,"SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad",x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Water explotation idex (WEI),NA,Existing,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,SO4 Mitigating and adapting to climate change,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Crop yield (3 main crops),NA,Existing,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,SO4 Mitigating and adapting to climate change,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
net GHG emissions (emissions and removals) from LULUCF,NA,Existing,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,SO4 Mitigating and adapting to climate change,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
net GHG emissions (emissions and removals) from agriculture,NA,Existing,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,SO4 Mitigating and adapting to climate change,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Value Added per sector / Bioeconomy value added,NA,Existing,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Gross value added per person employed in bioeconomy,NA,Existing,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Turnover in bioeconomy per sector,NA,Existing,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Value-added per sector,NA,Existing,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Persons employed per bioeconomy sectors,NA,Existing,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Share biomass used by primary sector,NA,Existing,NA,NA,NA,x,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,SO5 Strengthening European Competitiveness and Creating Jobs,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EU Bioeconomy Monitoring System,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en,https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Percentage food expenditure to total household expenditures,% of total spending,Existing,Indicator,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,(Expenditure on food/total expenditure)*100,This indicator is commonly calculated with data from Household Consumption and Expenditure Surveys (HCES) that include the monetary value of household consumption disaggregated into food and non-food items. ,NA,NA,SO1 Food and nutrition security,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,x,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Food and Agriculture Organization,https://inddex.nutrition.tufts.edu/data4diets/indicator/household-food-expenditure-share?back=/data4diets/indicators,NA
Indicator of (food) price anomalies (IFPA),%,Existing,Indicator,NA,NA,x,2011-2021,World,2021,x,NA,NA,NA,"The indicator of food price anomalies (IFPA) identifies market prices that are abnormally high. The IFPA relies on a weighted compound growth rate that accounts for both within year and across year price growth. The indicator directly evaluates growth in prices over a particular month over many years, taking into account seasonality in agricultural markets and inflation, allowing to answer the question of whether or not a change in price is abnormal for any particular period.",NA,NA,NA,SO1 Food and nutrition security,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,x,x,x,NA,x,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Food and Agriculture Organization,https://www.fao.org/sustainable-development-goals-data-portal/data/indicators/2c1---indicator-of-(food)-price-anomalies/en,NA
Food nutrition values,kcal/pc/d,Existing,Indicator,NA,NA,x,NA,World,2022,x,x,NA,NA,"Indicators are classified along the four dimensions of food security -- availability, access, utilization and stability.",NA,NA,NA,SO1 Food and nutrition security,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,x,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Food and Agriculture Organization,https://www.fao.org/faostat/en/#data/FS,https://www.fao.org/faostat/en/#data/FS
Extent of forest and other wooded land,1000 ha,Existing,Indicator,NA,NA,x,1985-2020,World,2020,x,x,NA,NA,"Land spanning more than 0.5 hectares with trees higher than 5 meters and a canopy cover of more than 10 percent, or trees able to reach these thresholds in situ. It does not include land that is predominantly under agricultural or urban land use.",NA,NA,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,FAO - Global Forest Resources Assessments (FRA),https://fra-data.fao.org/assessments/fra/2020,https://fra-data.fao.org/assessments/fra/2020
Naturally regenerating forest,1000 ha,Existing,Indicator,NA,NA,x,1990-2020,World,2020,x,x,NA,NA,Forest predominantly composed of trees established though natural regeneration.,NA,NA,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAO - Global Forest Resources Assessments (FRA),https://fra-data.fao.org/assessments/fra/2020,https://fra-data.fao.org/assessments/fra/2020
Planted Forest,1000 ha,Existing,Indicator,NA,NA,x,1990-2020,World,2020,x,x,NA,NA,Forest predominantly composed of trees established through planting and/or deliberate seeding.,NA,NA,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAO - Global Forest Resources Assessments (FRA),https://fra-data.fao.org/assessments/fra/2020,https://fra-data.fao.org/assessments/fra/2020
Forest expansion,Area (1000 ha/year),Existing,Indicator,NA,NA,x,1990-2020,World,2020,x,x,NA,NA,"Expansion of forest on land that, until then, was under a different land use, implies a transformation of land use from non-forest to forest.",NA,NA,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAO - Global Forest Resources Assessments (FRA),https://fra-data.fao.org/assessments/fra/2020,https://fra-data.fao.org/assessments/fra/2020
Deforestation,Area (1000 ha/year),Existing,Indicator,NA,NA,x,1990-2020,World,2020,x,x,NA,NA,The conversion of forest to other land use independently whether human-induced or not.,NA,NA,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAO - Global Forest Resources Assessments (FRA),https://fra-data.fao.org/assessments/fra/2020,https://fra-data.fao.org/assessments/fra/2020
Forest area net-change,Area (1000 ha/year),Existing,Indicator,NA,NA,x,1990-2020,World,2020,x,x,NA,NA,"The “Forest area net change” is the difference in forest area between two FRA reference years. The net change can be either positive (gain), negative (loss) or zero (no change).",NA,NA,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,FAO - Global Forest Resources Assessments (FRA),https://fra-data.fao.org/assessments/fra/2020,https://fra-data.fao.org/assessments/fra/2020
Reforestation,Area (1000 ha/year),Existing,Indicator,NA,NA,x,1990-2020,World,2020,x,x,NA,NA,Re-establishment of forest through planting and/or deliberate seeding on land classified as forest.,NA,NA,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAO - Global Forest Resources Assessments (FRA),https://fra-data.fao.org/assessments/fra/2020,https://fra-data.fao.org/assessments/fra/2020
Other land with tree cover,Area (1000 ha),Existing,Indicator,NA,NA,x,1990-2020,World,2020,x,x,NA,NA,"Land classified as “other land”, spanning more than 0.5 hectares with a canopy cover of more than 10 percent of trees able to reach a height of 5 meters at maturity.",NA,NA,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAO - Global Forest Resources Assessments (FRA),https://fra-data.fao.org/assessments/fra/2020,https://fra-data.fao.org/assessments/fra/2020
Forest growing stock,Growing stock m³/ha (over bark),Existing,Indicator,NA,NA,x,1990-2020,World,2020,x,x,NA,NA,"Volume over bark of all living trees with a minimum diameter of 10 cm at breast height (or above buttress if these are higher). Includes the stem from ground level up to a top diameter of 0 cm, excluding branches.",NA,NA,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAO - Global Forest Resources Assessments (FRA),https://fra-data.fao.org/assessments/fra/2020,https://fra-data.fao.org/assessments/fra/2020
Forest growing stock composition,Growing stock in forest (million m³ over bark),Existing,Indicator,NA,NA,x,1990-2010,NA,2010,x,x,NA,NA,Native tree species and introduced tree species,NA,NA,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,NA,x,NA,NA,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAO - Global Forest Resources Assessments (FRA),https://fra-data.fao.org/assessments/fra/2020,https://fra-data.fao.org/assessments/fra/2020
Biomass stock,Biomass (million metric tonnes oven-dry weight),Existing,Indicator,NA,NA,x,1990-2015,NA,2015,x,x,NA,NA,"It includes and differentiate between: above ground biomass (All biomass of living vegetation, both woody and herbaceous, above the soil including stems, stumps, branches, bark, seeds, and foliage) AND below ground biomass (All biomass of live roots. Fine roots of less than 2 mm diameter are excluded because these often cannot be distinguished empirically from soil organic matter or litter.) AND dead wood (All non-living woody biomass not contained in the litter, either standing, lying on the ground, or in the soil. Dead wood includes wood lying on the surface, dead roots, and stumps larger than or equal to 10 cm in diameter or any other diameter used by the country.)",NA,NA,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,FAO - Global Forest Resources Assessments (FRA),https://fra-data.fao.org/assessments/fra/2020,https://fra-data.fao.org/assessments/fra/2020
Carbon stock,Carbon (Million metric tonnes),Existing,Indicator,NA,NA,x,1990-2015,NA,2015,x,x,NA,NA,"It includes and differentiate between: CARBON IN ABOVE-GROUND BIOMASS (Carbon in all living biomass above the soil, including stems, stumps, branches, bark, seeds, and foliage.), CARBON IN BELOW-GROUND BIOMASS (Carbon in all biomass of live roots. Fine roots of less than 2 mm diameter are excluded, because these often cannot be distinguished empirically from soil organic matter or litter.), CARBON IN DEAD WOOD (Carbon in all non-living woody biomass not contained in the litter, either standing, lying on the ground, or in the soil. Dead wood includes wood lying on the surface, dead roots down to 2 mm, and stumps larger than or equal to 10 cm in diameter), CARBON IN LITTER (Carbon in all non-living biomass with a diameter less than the minimum diameter for dead wood (e.g. 10 cm), lying dead in various states of decomposition above the mineral or organic soil.) and SOIL CARBON (Organic carbon in mineral and organic soils (including peat) to a specified depth chosen by the country and applied consistently through the time series).",NA,NA,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAO - Global Forest Resources Assessments (FRA),https://fra-data.fao.org/assessments/fra/2020,https://fra-data.fao.org/assessments/fra/2020
Total forest area with designated management objective,Forest area (1000 ha),Existing,Indicator,NA,NA,x,1990-2020,World,2020,x,x,NA,NA,"Designated management objective (production, protection of soil and water, conservation of biodiversity, social services, other), regardless whether it is primary or not. The different designation categories are *not exclusive*. Hence, areas can be reported more than once e.g. Forest area reported as primary management objective ""Multiple use"" should be reported on for each management objectives. Thus the sum of the different management objectives can be larger than the total forest area",NA,NA,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,NA,x,NA,NA,NA,x,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAO - Global Forest Resources Assessments (FRA),https://fra-data.fao.org/assessments/fra/2020,https://fra-data.fao.org/assessments/fra/2020
Primary designated management objective,Forest area (1000 ha),Existing,Indicator,NA,NA,x,1990-2020,World,2020,x,x,NA,NA,"The primary designated management objective (production, protection of soil and water, conservation of biodiversity, social services, other) assigned to a management unit. Primary designated management objective is significantly more important than other management objectives. The different primary management objectives are *exclusive* and areas reported under one primary management objective should not be reported for any other primary management objectives. The sum of the different management objectives should add up to the forest area.",NA,NA,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,NA,x,NA,NA,NA,x,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAO - Global Forest Resources Assessments (FRA),https://fra-data.fao.org/assessments/fra/2020,https://fra-data.fao.org/assessments/fra/2020
Forest area within protected areas and forest area with long-term management plans,Area (1000 ha),Existing,Indicator,NA,NA,x,1990-2020,World,2020,x,x,NA,NA,"Forest area within formally established protected areas independently of the purpose for which the protected areas were established and forest area that has a long-term (ten years or more) documented management plan, aiming at defined management goals, and which is periodically revised.",NA,NA,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAO - Global Forest Resources Assessments (FRA),https://fra-data.fao.org/assessments/fra/2020,https://fra-data.fao.org/assessments/fra/2020
Proportion of forest area located within legally established protected areas,Percent (2015 forest area baseline),Existing,Indicator,NA,NA,x,2000-2020,World,2020,x,x,NA,NA,Proportion (%) of forest area located within legally established protected areas,NA,NA,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,FAO - Global Forest Resources Assessments (FRA),https://fra-data.fao.org/assessments/fra/2020,https://fra-data.fao.org/assessments/fra/2020
Proportion of forest area under long-term forest management plan,Percent (2015 forest area baseline),Existing,Indicator,NA,NA,x,2000-2020,World,2020,x,x,NA,NA,Proportion (%) of forest area under long-term forest management plan,NA,NA,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,FAO - Global Forest Resources Assessments (FRA),https://fra-data.fao.org/assessments/fra/2020,https://fra-data.fao.org/assessments/fra/2020
Forest area under independently verified forest management certification schemes,Forest area (1000 ha),Existing,Indicator,NA,NA,x,2000-2020,World,2020,x,x,NA,NA,Forest area under independently verified forest management certification schemes,NA,NA,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,x,NA,NA,FAO - Global Forest Resources Assessments (FRA),https://fra-data.fao.org/assessments/fra/2020,https://fra-data.fao.org/assessments/fra/2020
Forest ownership,Forest area (1000 ha),Existing,Indicator,NA,NA,x,1990-2010,World,2010,x,x,NA,NA,"Generally refers to the legal right to freely and exclusively use, control, transfer, or otherwise benefit from a forest. Ownership can be acquired through transfers such as sales, donations, and inheritance.",NA,NA,NA,SO2 Managing Natural Resources Sustainably,x,x,x,NA,NA,x,NA,NA,NA,NA,x,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAO - Global Forest Resources Assessments (FRA),https://fra-data.fao.org/assessments/fra/2020,https://fra-data.fao.org/assessments/fra/2020
Forest disturbances,Area (1000 ha),Existing,Indicator,NA,NA,x,2000-2017,World,2017,x,x,NA,NA,Damage caused by any factor (biotic or abiotic) that adversely affects the vigor and productivity of the forest and which is not a direct result of human activities.,NA,NA,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,NA,x,NA,NA,NA,x,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAO - Global Forest Resources Assessments (FRA),https://fra-data.fao.org/assessments/fra/2020,https://fra-data.fao.org/assessments/fra/2020
Area affected by fire,Area (1000 ha),Existing,Indicator,NA,NA,x,2000-2017,World,2017,x,x,NA,NA,Total land area affected by fire and forest area affected by fire.,NA,NA,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAO - Global Forest Resources Assessments (FRA),https://fra-data.fao.org/assessments/fra/2020,https://fra-data.fao.org/assessments/fra/2020
Policies supporting sustainable forest management,Yes/No,Existing,Indicator,NA,x,NA,NA,World,NA,x,x,x,NA,Existance of policies or strategies that explicitly encourage sustainable forest management.,NA,NA,NA,SO2 Managing Natural Resources Sustainably,x,x,x,NA,NA,x,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAO - Global Forest Resources Assessments (FRA),https://fra-data.fao.org/assessments/fra/2020,https://fra-data.fao.org/assessments/fra/2020
Legislations and regulations supporting sustainable forest management,Yes/No,Existing,Indicator,NA,x,NA,NA,World,NA,x,x,x,NA,"Existance of legislation and regulations that govern and guide sustainable forest management, operations and use.",NA,NA,NA,SO2 Managing Natural Resources Sustainably,x,x,x,NA,NA,x,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAO - Global Forest Resources Assessments (FRA),https://fra-data.fao.org/assessments/fra/2020,https://fra-data.fao.org/assessments/fra/2020
Platform that promotes or allows for stakeholder participation in forest policy development,Yes/No,Existing,Indicator,NA,x,NA,NA,World,NA,x,x,x,NA,"Existance of a recognized procedure that a broad range of stakeholders can use to provide opinions, suggestions, analysis, recommendations and other input into the development of national forest policy.",NA,NA,NA,SO2 Managing Natural Resources Sustainably,x,x,x,NA,NA,x,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAO - Global Forest Resources Assessments (FRA),https://fra-data.fao.org/assessments/fra/2020,https://fra-data.fao.org/assessments/fra/2020
Traceability system(s) for wood products,Yes/No,Existing,Indicator,NA,x,NA,NA,World,NA,x,x,x,NA,"Existance of a system that provides the ability to trace the origin, location and movement of wood products by means of recorded identifications. This involves two main aspects: (1) identification of the product by marking, and (2) the recording of data on movement and location of the product all the way along the production, processing and distribution chain.",NA,NA,NA,SO2 Managing Natural Resources Sustainably,x,x,x,x,NA,x,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAO - Global Forest Resources Assessments (FRA),https://fra-data.fao.org/assessments/fra/2020,https://fra-data.fao.org/assessments/fra/2020
Area of permanent forest estate,Forest area (1000 ha),Existing,Indicator,NA,NA,x,1990-2020,World,2020,x,x,NA,NA,Forest area that is designated to be retained as forest and may not be converted to other land use.,NA,NA,NA,SO2 Managing Natural Resources Sustainably,x,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,x,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAO - Global Forest Resources Assessments (FRA),https://fra-data.fao.org/assessments/fra/2020,https://fra-data.fao.org/assessments/fra/2020
Employment in forestry and logging,Full-time equivalents (1000 FTE),Existing,Indicator,NA,NA,x,1990-2015,World,2015,x,x,NA,NA,"Employment in forestry and logging. Further disaggragation by silviculture and other forestry activities, logging, gathering of non wood forest products, support services to forestry.",NA,NA,NA,SO5 Strengthening European Competitiveness and Creating Jobs,NA,x,x,NA,NA,x,NA,NA,NA,NA,NA,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FAO - Global Forest Resources Assessments (FRA),https://fra-data.fao.org/assessments/fra/2020,https://fra-data.fao.org/assessments/fra/2020
