"INDICATOR:","UNIT:","Status of indicator (existing, proposed).","Availability of data: Indicator/Signal/Potential","Qualitative indicator","Boolean indicator (yes/No)","Quantitative indicator","Temporal","Geographic","Recent year","EU","National","Regional/Cities","Products /  Companies","Description of the indicator/signal/potential","Methodological considerations","Required methodology","Headline","Societal Goals","Environmental","Economic","Social","Circularity","Agriculture","Forestry","Acquaculture","Secondary production systems","Waste and Circularity","Ecosystem conditions","Trade","Primary sectors","Stock","Processing/Manufacturing services","Users","Disposal/Cascading/Recycling/Reusing","Whole chain","SDG 1: No poverty","SDG 2: Zero hunger","SDG 3: Good health and well being","SDG 4: Quality education","SDG 5: Gender equality","SDG 6: Clean water and sanitation","SDG 7: Affordable and clean energy","SDG 8: Decent work and economic growth","SDG 9: Industry, innovation and infrastructure","SDG 10: Reduced inequalities","SDG 11: Sustainable cities and communities","SDG 12: Responsible consumption and production","SDG 13: Climate action","SDG 14: Life below water","SDG 15: Life on land","SDG 16: Peace, justice, and strong institutions","SDG 17: Partnerships for the goals","Source","Link to reference","Link to data"
"Conservation Status of grassland",NA,"Proposed",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"SO2 Managing Natural Resources Sustainably","x",NA,"x",NA,"x",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Fraction of primary residues remaining in forest",NA,"Proposed",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"SO2 Managing Natural Resources Sustainably","x",NA,NA,NA,NA,"x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Number of annual introductions of invasive alien species in forest",NA,"Proposed",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"SO2 Managing Natural Resources Sustainably","x",NA,NA,NA,NA,"x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Certifies forest",NA,"Proposed",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"SO2 Managing Natural Resources Sustainably","x",NA,"x",NA,NA,"x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Nutrient discharge from fisheries aquaculture",NA,"Proposed",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"SO2 Managing Natural Resources Sustainably","x",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Number of annual introductions of invasive alien species in forest",NA,"Proposed",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"SO2 Managing Natural Resources Sustainably","x",NA,NA,NA,NA,"x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Number of annual introductions of invasive alien species in freshwater",NA,"Proposed",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"SO2 Managing Natural Resources Sustainably","x",NA,NA,NA,NA,NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Size of aquacolture production units",NA,"Proposed",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"SO2 Managing Natural Resources Sustainably","x","x",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Number of integrated multi-trophic aquaculture production units",NA,"Proposed",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"SO2 Managing Natural Resources Sustainably","x","x",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Ammonia emissions from agricolture",NA,"Proposed",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"SO2 Managing Natural Resources Sustainably","x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Land Use/ Land cover type taken over by agricultural land",NA,"Proposed",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"SO2 Managing Natural Resources Sustainably","x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Change in ecosystem extent: cropland & grassland",NA,"Proposed",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"SO2 Managing Natural Resources Sustainably","x",NA,NA,NA,"x",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Number of annual introductions of invasive alien species in agroecosystems",NA,"Proposed",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"SO2 Managing Natural Resources Sustainably","x",NA,NA,NA,"x",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Sales of pesticides",NA,"Proposed",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"SO2 Managing Natural Resources Sustainably",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Flood regulation (flood control, flow, demand, potential, unment demand, monetary values)",NA,"Proposed",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"SO2 Managing Natural Resources Sustainably","x",NA,NA,NA,"x","x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Air quality",NA,"Proposed",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"SO2 Managing Natural Resources Sustainably","x",NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Net ecosystem productivity",NA,"Proposed",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"SO2 Managing Natural Resources Sustainably","x",NA,NA,NA,"x","x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Aesthetics considerations of nature",NA,"Proposed",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"SO2 Managing Natural Resources Sustainably",NA,NA,"x",NA,"x","x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Recreational services (recreation, flow, demand, potential)",NA,"Proposed",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"SO2 Managing Natural Resources Sustainably",NA,NA,"x",NA,"x","x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Domestic Material Consumption (Biomass)","%","Existing","indicator",NA,NA,"x","2000-2021","EU",2021,"x","x",NA,NA,"This indicator quantifies the amount of biomass consumed as a share of the total domestic material consumption.",NA,"The total is the sum of the biomass, metal ores, non-metallic minerals and fossil energy materials and carriers.",NA,"SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad","x","x",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Material Footprint (Biomass)","kg per dollar of GDP in USD","Existing","indicator",NA,NA,"x","2000-2019","EU",2019,"x","x",NA,NA,"This indicator quantifies the total amount of raw materials extracted to meet final consumption demands. It is one indication of the pressures placed on the environment to support economic growth and to satisfy the material needs of people.",NA,NA,NA,"SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad","x","x",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Energy productivity","eur / kgoe","Existing","indicator",NA,NA,"x","2000-2020","EU",2020,"x","x",NA,NA,"The indicator results from the division of the gross domestic product (GDP) by the gross available energy for a given calendar year. It measures the productivity of energy consumption and provides a picture of the degree of decoupling of energy use from growth in GDP",NA,NA,NA,"SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad","x","x",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Share of renewable energy in gross final energy consumption","%","Existing","Indicator",NA,NA,"x","2004-2020","EU",2020,"x","x",NA,NA,"The indicator measures the share of renewable energy consumption in gross final energy consumption according to the Renewable Energy Directive.",NA,"The gross final energy consumption is the energy used by end-consumers -final energy consumption- plus grid losses and self-consumption of power plants.",NA,"SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad","x","x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,"x","x",NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Circular material rate","%","Existing","Indicator",NA,NA,"x","2010-2020","EU",2020,"x","x",NA,NA,"The indicator measures the share of material recovered and fed back into the economy - saving extraction of primary raw materials - in overall material use.",NA,"The circular material use, also known as circularity rate is defined as the ratio of the circular use of materials to the overall material use. The overall material use is measured by summing up the aggregate domestic material consumption (DMC) and the circular use of materials. DMC is defined in economy-wide material flow accounts. The circular use of materials is approximated by the amount of waste recycled in domestic recovery plants minus imported waste destined for recovery plus exported waste destined for recovery abroad.",NA,"SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad","x","x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Recycling rate of municipal waste","%","Existing","Indicator",NA,NA,"x","2000-2019","EU",2019,"x","x",NA,NA,"The share of recycled municipal waste in the total municipal waste generation.",NA,NA,NA,"SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad","x","x",NA,"x",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Biowaste generated by source","ktonnes dry","Existing","indicator",NA,NA,"x","2012-2020","EU",2020,"x","x",NA,NA,"Biowaste generated by households and industry.","Data on waste generation is collected from EU MS in Waste Statistics Regulation framework and published by Eurostat.","Statistics on waste generation are provided through a matrix which consists of different waste categories and the activities/source of the waste generation. Relevant data on waste categories that contain biodegradable matter and the source of waste generation (NACE activities) have been chosen. The calculations were done for agricultural and industrial biowaste and household biowaste.",NA,"SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad","x","x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Social condition in exporting countries to EU","%; PPP; rate per 1000 live births; a unitless scale of 0 to 100, with 100 being the optimal value","Existing","indicator",NA,NA,"x","2013-2022","EXTRA EU",2022,"x","x",NA,NA,"This indicator consists of seven sub-indicators to give an indication of the social condition in countries that trade with the EU related to bioeconomy.",NA,"The sub-indicators are: - Informal employment: In contexts where social protection coverage is limited, social security benefits are insufficient, and/or where wages and pensions are low, individuals may have to take up informal employment to ensure their livelihood. Statistics on informality are key to assessing the quality of employment in an economy. - Compliance of labour rights: This sub-indicator measures the level of national compliance with fundamental rights at work, specifically freedom of association and collective bargaining by assessing trade union density. - Minimum wage: Minimum wage is the minimum earnings employers can legally pay their staff. The main purpose is to protect workers from unduly low earnings and exploitation. Most countries have implement minimum wage legislation, however some have not and are therefore excluded. - Poverty rate: Monitoring poverty is important on the global development agenda as well as for many countries. Poverty rate is reported for age 15+ years. - Infant mortality rate: Mortality rates among young children is a key output indicator for child health and well-being, as well as for social and economic development. It also reflects the access of children and communities to basic health interventions such as vaccination and adequate nutrition. - Coverage of essential health service: The average coverage of essential services is based on tracer interventions that include reproductive, maternal, newborn and child health, infectious diseases, non-communicable diseases as well as service capacity and access. Here, the universal health coverage (UHC) index is used as indicator. - Gender pay gap: This sub-indicator highlights gender equality related to wages by measuring the relative difference between the average hourly earnings for men and for women.",NA,"SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,"x","x",NA,"x",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Economic impacts of trade in exporting countries (to EU)","Million US dollars and %","Existing","indicator",NA,NA,"x","2014-2019","EXTRA EU",2019,"x","x",NA,NA,"The indicator shows the monetary volume from exporter countries to EU related to biocommodities and the share of GDP.",NA,"It is subdivided into 5 categories: primary crops, livestock, fish, plants, timber.",NA,"SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,"x",NA,NA,NA,NA,"x","EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Share of renewables for transport, electricity and heating & cooling","%","Existing","indicator",NA,NA,"x","2004-2022","EU",2022,"x","x",NA,NA,"This indicator is based on data collected by Eurostat in the framework of Regulation (EC) No 1099/2008 on energy statistics and complemented by specific supplementary data transmitted by national administrations to Eurostat.",NA,"As reported by EUROSTAT, The share of energy from renewable sources is calculated for four indicators:
Transport (RES-T)
Heating and Cooling (RES-H&C)
Electricity (RES-E)
Overall RES share (RES)",NA,"SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad","x","x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,"x",NA,NA,"x",NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Share of woody biomass used for energy","%","Existing","indicator",NA,NA,"x","2009-2017","EU",2017,"x","x",NA,NA,"The indicator shows the total biomass of woody origin consumed annually in the production of energy as a share of total uses (energy + material).",NA,NA,NA,"SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad","x","x",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Total biomass consumed for materials","kilotonnes dry matter","Existing","indicator",NA,NA,"x","2009-2017","EU",2017,"x","x",NA,NA,"The indicator shows the total biomass of agricultural and woody origin consumed annually in the production of materials.",NA,NA,NA,"SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad","x","x",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Total biomass consumed for energy","kilotonnes dry matter","Existing","indicator",NA,NA,"x","2009-2017","EU",2017,"x","x",NA,NA,"The indicator shows the total biomass of agricultural and woody origin consumed annually in the production of energy",NA,NA,NA,"SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad","x","x",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Food waste by food category - mass balance approach","tonnes","Existing","indicator",NA,NA,"x","2003-2020","EU",2020,"x","x",NA,NA,"Food waste generated per year in EU MS by food type category.","The model was developed in the JRC and provides results for the years 2003 – 2020 for EU27 MS.","Food category are: vegetables, oilseeds, fish, cocoa and coffee, sugar beets, meet, eggs, cereals, potatoes,fruits and nuts, dairy.",NA,"SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad","x","x",NA,"x",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Food waste along supply chain - mass balance approach","tonnes","Existing","indicator",NA,NA,"x","2003-2020","EU",2020,"x","x",NA,NA,"Food waste generated per year in EU MS by stage of the food supply chain.","The model was developed in the JRC and provides results for the years 2003 – 2020 for EU27 MS.","Food supply chain stages considered are: primary production, processing and manufacturing, retail and distribution, food services consumption, household consumption)",NA,"SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad","x","x",NA,"x",NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
