INDICATOR:;UNIT:;Status of indicator (existing, proposed).;Availability of data: Indicator/Signal/Potential;Qualitative indicator;Boolean indicator (yes/No);Quantitative indicator;Temporal;Geographic;Recent year;EU;National;Regional/Cities;Products /  Companies;Methodological considerations;Required methodology;Headline;Societal Goals;Environmental;Economic;Social;Circularity;Agriculture;Forestry;Acquaculture;Secondary production systems;Waste and Circularity;Ecosystem conditions;Trade;Primary sectors;Stock;Processing/Manufacturing services;Users;Disposal/Cascading/Recycling/Reusing;Whole chain;SDG 1: No poverty;SDG 2: Zero hunger;SDG 3: Good health and well being;SDG 4: Quality education;SDG 5: Gender equality;SDG 6: Clean water and sanitation;SDG 7: Affordable and clean energy;SDG 8: Decent work and economic growth;SDG 9: Industry, innovation and infrastructure;SDG 10: Reduced inequalities;SDG 11: Sustainable cities and communities;SDG 12: Responsible consumption and production;SDG 13: Climate action;SDG 14: Life below water;SDG 15: Life on land;SDG 16: Peace, justice, and strong institutions;SDG 17: Partnerships for the goals;Source;Link to reference;Link to data
Biomass stock;Biomass (million metric tonnes oven-dry weight);Existing;Indicator;;;x;1990-2015;;2015;x;x;;;;;;SO2 Managing Natural Resources Sustainably;x;;;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;x;;;FAO - Global Forest Resources Assessments (FRA);https://fra-data.fao.org/assessments/fra/2020;https://fra-data.fao.org/assessments/fra/2020
Carbon stock;Carbon (Million metric tonnes);Existing;Indicator;;;x;1990-2015;;2015;x;x;;;;;;SO2 Managing Natural Resources Sustainably;x;;;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;FAO - Global Forest Resources Assessments (FRA);https://fra-data.fao.org/assessments/fra/2020;https://fra-data.fao.org/assessments/fra/2020
Total forest area with designated management objective;Forest area (1000 ha);Existing;Indicator;;;x;1990-2020;World;2020;x;x;;;;;;SO2 Managing Natural Resources Sustainably;x;;;;;x;;;;x;;;x;;;;;;;;;;;;;;;;;;;;;;FAO - Global Forest Resources Assessments (FRA);https://fra-data.fao.org/assessments/fra/2020;https://fra-data.fao.org/assessments/fra/2020
Primary designated management objective;Forest area (1000 ha);Existing;Indicator;;;x;1990-2020;World;2020;x;x;;;;;;SO2 Managing Natural Resources Sustainably;x;;;;;x;;;;x;;x;x;;;;;;;;;;;;;;;;;;;;;;FAO - Global Forest Resources Assessments (FRA);https://fra-data.fao.org/assessments/fra/2020;https://fra-data.fao.org/assessments/fra/2020
Forest area within protected areas and forest area with long-term management plans;Area (1000 ha);Existing;Indicator;;;x;1990-2020;World;2020;x;x;;;;;;SO2 Managing Natural Resources Sustainably;x;;;;;x;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;FAO - Global Forest Resources Assessments (FRA);https://fra-data.fao.org/assessments/fra/2020;https://fra-data.fao.org/assessments/fra/2020
Proportion of forest area located within legally established protected areas;Percent (2015 forest area baseline);Existing;Indicator;;;x;2000-2020;World;2020;x;x;;;;;;SO2 Managing Natural Resources Sustainably;x;;;;;x;;;;;;x;x;;;;;;;;;;;;;;;;;;;x;;;FAO - Global Forest Resources Assessments (FRA);https://fra-data.fao.org/assessments/fra/2020;https://fra-data.fao.org/assessments/fra/2020
Proportion of forest area under long-term forest management plan;Percent (2015 forest area baseline);Existing;Indicator;;;x;2000-2020;World;2020;x;x;;;;;;SO2 Managing Natural Resources Sustainably;x;;;;;x;;;;;;x;x;;;;;;;;;;;;;;;;;;;x;;;FAO - Global Forest Resources Assessments (FRA);https://fra-data.fao.org/assessments/fra/2020;https://fra-data.fao.org/assessments/fra/2020
Forest area under independently verified forest management certification schemes;Forest area (1000 ha);Existing;Indicator;;;x;2000-2020;World;2020;x;x;;;;;;SO2 Managing Natural Resources Sustainably;x;;;;;x;;;;;;x;x;;;;;;;;;;;;;;;;;;;x;;;FAO - Global Forest Resources Assessments (FRA);https://fra-data.fao.org/assessments/fra/2020;https://fra-data.fao.org/assessments/fra/2020
Forest ownership;Forest area (1000 ha);Existing;Indicator;;;x;1990-2010;World;2010;x;x;;;;;;SO2 Managing Natural Resources Sustainably;x;x;x;;;x;;;;;x;x;x;;;;;;;;;;;;;;;;;;;;;;FAO - Global Forest Resources Assessments (FRA);https://fra-data.fao.org/assessments/fra/2020;https://fra-data.fao.org/assessments/fra/2020
Forest disturbances;Area (1000 ha);Existing;Indicator;;;x;2000-2017;World;2017;x;x;;;;;;SO2 Managing Natural Resources Sustainably;x;;;;;x;;;;x;;x;x;;;;;;;;;;;;;;;;;;;;;;FAO - Global Forest Resources Assessments (FRA);https://fra-data.fao.org/assessments/fra/2020;https://fra-data.fao.org/assessments/fra/2020
Area affected by fire;Area (1000 ha);Existing;Indicator;;;x;2000-2017;World;2017;x;x;;;;;;SO2 Managing Natural Resources Sustainably;x;;;;;x;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;FAO - Global Forest Resources Assessments (FRA);https://fra-data.fao.org/assessments/fra/2020;https://fra-data.fao.org/assessments/fra/2020
Policies supporting sustainable forest management;Yes/No;Existing;Indicator;;x;;;World;;x;x;x;;;;;SO2 Managing Natural Resources Sustainably;x;x;x;;;x;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;FAO - Global Forest Resources Assessments (FRA);https://fra-data.fao.org/assessments/fra/2020;https://fra-data.fao.org/assessments/fra/2020
Legislations and regulations supporting sustainable forest management;Yes/No;Existing;Indicator;;x;;;World;;x;x;x;;;;;SO2 Managing Natural Resources Sustainably;x;x;x;;;x;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;FAO - Global Forest Resources Assessments (FRA);https://fra-data.fao.org/assessments/fra/2020;https://fra-data.fao.org/assessments/fra/2020
Platform that promotes or allows for stakeholder participation in forest policy development;Yes/No;Existing;Indicator;;x;;;World;;x;x;x;;;;;SO2 Managing Natural Resources Sustainably;x;x;x;;;x;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;FAO - Global Forest Resources Assessments (FRA);https://fra-data.fao.org/assessments/fra/2020;https://fra-data.fao.org/assessments/fra/2020
Traceability system(s) for wood products;Yes/No;Existing;Indicator;;x;;;World;;x;x;x;;;;;SO2 Managing Natural Resources Sustainably;x;x;x;x;;x;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;FAO - Global Forest Resources Assessments (FRA);https://fra-data.fao.org/assessments/fra/2020;https://fra-data.fao.org/assessments/fra/2020
Area of permanent forest estate;Forest area (1000 ha);Existing;Indicator;;;x;1990-2020;World;2020;x;x;;;;;;SO2 Managing Natural Resources Sustainably;x;;;;;x;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;FAO - Global Forest Resources Assessments (FRA);https://fra-data.fao.org/assessments/fra/2020;https://fra-data.fao.org/assessments/fra/2020
Employment in forestry and logging;Full-time equivalents (1000 FTE);Existing;Indicator;;;x;1990-2015;World;2015;x;x;;;;;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;x;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;FAO - Global Forest Resources Assessments (FRA);https://fra-data.fao.org/assessments/fra/2020;https://fra-data.fao.org/assessments/fra/2020
Graduation of students in forest-related education;Number of graduated students;Existing;Indicator;;;x;1990-2015;World;2015;x;x;;;;;;SO5 Strengthening European Competitiveness and Creating Jobs;;;x;;;x;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;FAO - Global Forest Resources Assessments (FRA);https://fra-data.fao.org/assessments/fra/2020;https://fra-data.fao.org/assessments/fra/2020
Non wood forest products removals and value 2015;Quantity and value;Existing;Indicator;;;x;2015;World;2015;x;x;;;;;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;;x;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;FAO - Global Forest Resources Assessments (FRA);https://fra-data.fao.org/assessments/fra/2020;https://fra-data.fao.org/assessments/fra/2020
Farming holding economic size;€/1000;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Farming Total labour input;full-time person equivalents;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Farming Unpaid labour input;Family annual work unit;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;;x;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Farming Paid labour input;Family annual work unit;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;x;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Farming Total Labour input;hrs;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Farming Unpaid labour input;hrs;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;;x;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Farming Paid labour input;hrs;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO5 Strengthening European Competitiveness and Creating Jobs;;x;x;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Total Utilised Agricultural Area;ha;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO2 Managing Natural Resources Sustainably;x;;;;x;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Arable land;ha;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO2 Managing Natural Resources Sustainably;x;;;;x;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Permanent crops;ha;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO2 Managing Natural Resources Sustainably;x;;;;x;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Permanent grassland;ha;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO2 Managing Natural Resources Sustainably;x;;;;x;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Cereals;ha;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO2 Managing Natural Resources Sustainably;x;;;;x;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Other field crops;ha;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO2 Managing Natural Resources Sustainably;x;;;;x;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Energy crops;ha;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO3 Reducing dependence on non-renewable unsustainable resources, whether sourced domestically or from abroad;x;;;;x;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Vegetables and flowers;ha;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO2 Managing Natural Resources Sustainably;x;;;;x;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
Vineyards;ha;Existing;Indicator;;;x;2004-2022;EU;2022;x;x;x;;FADN database describes in detail the economic situation of farmers by different groups throughout the European Union. Variables defined in the standard results represent averages. These figures are calculated for each year, per Member State, Type of Farming and Economic Size class.;https://circabc.europa.eu/ui/group/befb6055-ab0c-4305-84fe-0c80c1c0553d/library/26cf03c0-c30a-4c19-8f46-bd56bfc59549?p=1&n=10&sort=modified_DESC;;SO2 Managing Natural Resources Sustainably;x;;;;x;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;"Farm economics
Economic reports on EU farming, based on data from the Farm Accountancy Data Network (FADN).";https://agridata.ec.europa.eu/extensions/FarmEconomyFocus/FarmEconomyFocus.html;https://agridata.ec.europa.eu/extensions/FADNPublicDatabase/FADNPublicDatabase.html
